Jonas,I'm here.,
Angelica,Jonas.,
,,
Jonas,"Yes, my love.",
Angelica,It hurts.,
,,
Jonas,I know.,
,,
Angelica,I need medicine.,
,,
Jonas,"I'm sorry, my love,",
,there's no more time.,
,,
,It has to be now.,
,,
Angelica,Not ready. I'm too weak.,
,,
Jonas,None of us were ever as strong as you.,
,,
Angelica,I don't want anyone else to die,
,because of me.,
,,
Jonas,They'll be hunted... born or unborn.,
,,
,You can give them a fighting chance.,
,,
Angelica,I see them.,
,,
Jonas,You did it.,
,,
Angelica,Protect them.,
,,
Jonas,They're here.,
,,
Angelica,So is he.,
,,
Jonas,Fight him.,
Angelica,I can't.,
,,
Whispers,So this is how you've been hiding from me?,
,,
Jonas,Does he know?,
,,
Whispers,You're giving birth.,
,,
,Oh...,
,,
,It's painful. I can feel it.,
,,
Jonas,"Whatever he's saying,",
,remember what he has done.,
,,
Angelica,Go.,
Whispers,Is that Jonas?,
,,
Angelica,Please.,
,,
Whispers,Tell him I'm looking forward,
,to meeting him.,
,,
Jonas,I love you.,
,,
Angelica,I love you.,
Whispers,"Aw, does he know you're lying?",
,,
Angelica,Stop.,
,,
Whispers,Or is that still our little secret?,
,,
,Angelica.,
,,
Angelica,I... I can't do it... not if you're here.,
,,
Jonas,I will always be here...,
,,
,just as you will always be here.,
,,
Whispers,"Oh, come now, my dear,",
,,
,how many times have you made that threat?,
,,
,And we both know you won't do it.,
,,
,You can't.,
,,
,"You are one of us, and there's still",
,so much work to be done.,
,,
,"You're coming home, with me.",
,,
Angelica,No.,
,,
Whispers,Give me the gun.,
,Put the gun down.,
,,
Angelica,No.,
,,
Whispers,Stop her!,
,,
,,1
Sarah Patrell,"Will, help me.",
,,
,Will...,
,,
,help me.,
,,
,Please.,
,,
,Help me.,
,,
Will,OK.,
,,
,Hello?,
,,
,Hello? It's your neighbor.,
,,
,"Hey, open up!",
,This is the police!,
,,1
Jacks,"She can spin for a girl, can't she?",
,,
Nyx,She can spin.,
,,
,Period.,
,,
Jacks,Sure.,
,,
Jacks,I don't care. I didn't dress for you.,
,I dressed for what is actually cool...,
,,
,"Oh, hey, baby.",
,"Oh, hey... that set was on fire, man.",
,,
Nocker,"Yeah, the vibe was crackin', Riles.",
,,
,It was like a...,
,like a tight leash around me goolies.,
,,
Nyx,Seen a lot of people play here.,
,It doesn't feel like that.,
,,
Riley,Thank you.,
Jacks,This is the guy I was telling you about.,
,,
Nyx,Everybody calls me Nyx.,
,,
Jacks,"Gotta come with us, man.",
,The shit that he has got,
,,
,has got the power to blow,
,our fuckin' brains out.,
,,
Riley,"Sorry, really bad migraine.",
Nyx,I get it. All that energy and emotion.,
,,
Jacks,Tell him about your freak out,
,in the park.,
,,
Riley,"Jacks, you fuckin' dick.",
Jacks,"No, it's cool, man. Nyx, he gets it.",
,,
Nyx,He said you had a vision.,
,,
Riley,"No, it was too many drugs.",
,,1
Padre,My son?,
,,
Nun,Tino! Don't do this.,
,"Don't do this, I beg of you!",
,,
,I love you! I love you!,
,,
Lito,It's too late.,
Nun,Tino.,
,,
Padre,"Have you come to confess your sins,",
,my son?,
,,
Lito,"No, Padre.",
,,
,I've come to blow,
,your fucking brains out.,
,,
Padre,What?,
,,
,"I'm sorry,",
,are we going off script?,
,,
Director,Cut! Cut!,
,,
,"Padre, take five.",
,,
,"Lito, what is going on with you?",
,,
