Nomi,This isn't a fair fight.,
,,
,We need to level the playing field,
,and that's what this guy does.,
,,
Neets,And you trust him?,
,,
,Because you were hackers together?,
,,
Nomi,Because he got caught,
,hacking the Pentagon during the war.,
,,
Neets,Couldn't have been very serious.,
,,
Nomi,It was.,
Neets,Then why isn't he in jail?,
,,
Nomi,Because I took the fall for him.,
,,
,I was a juvenile. I had rich parents.,
,I got off with community service.,
,,
,I never told you because I didn't think,
,that I would ever have to revisit,
,,
,this part of my life.,
,,
,I'm sorry.,
,,1
Prison Officer,Attention.,
,,
,This is Prisoner 773.,
,,
,Teach her the rules.,
,,
Prisoner,It is her.,
,,1
Nomi,Here he comes.,
,,1
Prisoner,The embezzler.,
Soo-Jin,You stole all of those investors' money?,
,,
Min-Jung,Shamed your father and brother.,
,,
Prisoner,And almost destroyed their company.,
,,
Min-Jung,Well done.,
,,1
Nomi,"Hey, Bug.",
,,
Bug,Where's Mike?,
,,
Nomi,It's me. I'm... Mike.,
,,
Bug,"Oh, shit.",
,,
,Fuck!,
,,
,"Right, totally forgot.",
,I'm a fucking idiot.,
,,
,"'Course it's you, buddy!",
,,
,'Course it's you.,
,,
,"Not you, like the old you,",
,"like a new, hot version of you.",
,,
,"Shit, Mike.",
,,
,You're a total fox!,
,I would do you! I would.,
,,
,"I would totally... I mean not like,",
,,
,"not in a degrading way, like that sounded,",
,but total compliment.,
,,
Nomi,Thank you.,
Neets,Her name's Nomi.,
,,
Bug,OK.,
,,
,Who's this?,
Nomi,This is my girlfriend.,
,,
Bug,Seriously? Shit!,
Nomi,Bug.,
,,
Bug,Right.,
,,
,Business.,
,,
,Everything you need.,
,,
,Right here.,
,,
,"Hey, look, if you guys are startin'",
,some crime-fightin' super-team,
,,
,"Charlie's Angels shit,",
,you count me in.,
,,
,OK. Let's start you off,
,with some switch hooks.,
,,
Nomi,I need a candygram and a feedtrough,
,,
,that'll burrow through,
,any firewall ever built.,
,,
Bug,Things are gettin' exciting.,
,,
Nomi,And how about a waterwitch?,
,,
Bug,"No, but I do have...",
,,
Nomi,A Ragemaster?,
,,
,That's NSA grade.,
,,
Bug,Serious hard-on when that showed up.,
,,
Nomi,Yeah. I know what you mean.,
,,
Neets,Is all of this equipment illegal?,
,,
Bug,"Well, with this kind of technology,",
,legality is a bit of a moving target.,
,,
Neets,Ah.,
Nomi,I figure justice is as justice does.,
,,
,If the government,
,"can use this shit to spy on us,",
,,
,why shouldn't we be able to spy on them?,
,,
Bug,"Missed you, buddy.",
,,1
Min-Jung,I married my husband,
,when I was 22 years old.,
,,
,I felt like I was a very lucky woman.,
,,
,Then he lost his job.,
,,
,And he started drinking.,
,,
,And then... beating me.,
,,
,I could guess how bad the beating would be,
,by the hands of the clock.,
,,
,Time was a source of terror.,
,,
,"But in here, every moment",
,spent free of that man is a gift.,
,,
Sun,But... why are you here?,
,,
Min-Jung,Because I put rat poison in his bibimbap,
,and killed the motherfucker.,
,,
,"She did her husband, too.",
,,
Soo-Jin,He was a bad man.,
,,
Sun,And you?,
,,
Prisoner,I pushed my father's wheelchair,
,"down an elevator shaft,",
,,
,with him still in it.,
,,
,"In this country, sometimes the only place",
,you can find a brave and honest woman,
,,
,is in prison.,
,,1
Daniela,You guys have been so good to me.,
,,
,I just want to do something for you.,
,,
